source,target
classic garage rock,no wave
freakbeat,no wave
hyperpop,kawaii future bass
collage pop,hardvapour
collage pop,vaporwave
hyperpop,indie r&b
cape town indie,south african electronic
bass music,experimental club
bass music,grimewave
experimental club,fluxwork
experimental club,grimewave
experimental club,mandible
fluxwork,grimewave
grimewave,mandible
rock steady,trinidadian reggae
classic garage rock,deep classic garage rock
deep classic garage rock,freakbeat
exotica,zolo
lounge,zolo
vintage french electronic,zolo
instrumental soul,rhythm and blues
freakbeat,philly indie
philly indie,psychedelic rock
dutch blues,dutch prog
dutch blues,freakbeat
dutch prog,freakbeat
delta blues,soul blues
harmonica blues,soul blues
indian jazz,spiritual jazz
beach music,indorock
classic nz country,classic nz pop
manele,muzica populara
manele,romanian folk
stubenmusik,zither
bulgarian folk,macedonian folk
muzica populara,romanian rock
country boogie,western swing
caucasian folk,inuit traditional
honky-tonk piano,ragtime
old west,ragtime
japanese jazz,jazz trumpet
japanese jazz,vocal jazz
british blues,canadian blues
dance-punk,new wave pop
dance-punk,trip hop
toronto indie,transpop
spanish invasion,spanish new wave
american contemporary classical,electroacoustic composition
electroacoustic composition,minimalism
ceilidh,jig and reel
abstract,acousmatic
abstract,american contemporary classical
abstract,avant-garde
abstract,contemporary classical
abstract,free improvisation
abstract,microtonal
abstract,musique concrete
free improvisation,japanese classical
bubblegum pop,chicano punk
chicano punk,classic garage rock
chicano punk,freakbeat
chicano punk,protopunk
chicano punk,psychedelic rock
classic dutch pop,indorock
arab electronic,organic electronic
acousmatic,german contemporary classical
free improvisation,german contemporary classical
free improvisation,serialism
german contemporary classical,laboratorio
laboratorio,serialism
acousmatic,belgian contemporary classical
acousmatic,belgian experimental
avant-garde,belgian contemporary classical
avant-garde,belgian experimental
belgian contemporary classical,belgian experimental
belgian contemporary classical,musique concrete
belgian contemporary classical,serialism
belgian experimental,musique concrete
belgian experimental,serialism
musique concrete,serialism
french worship,schlager
traditional rockabilly,truck-driving country
musica para ninos,villancicos
ballet class,orchestral performance
german literature,reading
croatian pop,starogradska
classic danish pop,nordic soundtrack
dansktop,nordic soundtrack
classic garage rock,neo-psychedelic
folk rock,neo-psychedelic
freakbeat,neo-psychedelic
canadian psychedelic,classic psychedelic rock
nueva ola peruana,venezuelan rock
arab folk,drone folk
russian folk,russian romance
hammond organ,vintage italian soundtrack
british experimental,spytrack
british experimental,theme
spytrack,theme
japanese garage rock,japanese psychedelic
french jazz,jazz saxophone
country gospel,oklahoma country
classic garage rock,nederpop
jazz flute,jazz saxophone
classic soul,deep northern soul
avant-garde jazz,jazz trombone
neo-rockabilly,traditional rockabilly
musica de intervencao,musica portuguesa contemporanea
classic israeli pop,israeli folk
early modern classical,early romantic era
early modern classical,swedish classical
early romantic era,swedish classical
danspunk,vintage swedish pop
children's choir,german choir
early romantic era,german literature
freakbeat,nederpop
arkansas country,bubblegum pop
classic uk pop,experimental rock
classic uk pop,slow core
cosmic american,outsider
instrumental rock,roots rock
jazz fusion,roots rock
action rock,alternative roots rock
action rock,psychobilly
alternative roots rock,psychobilly
blues,classic soul
blues rock,classic soul
classic soul,country rock
classic soul,electric blues
classic soul,roots rock
dutch prog,hammond organ
hammond organ,nederpop
hammond organ,symphonic rock
hammond organ,psychedelic blues-rock
hammond organ,vintage french electronic
ethnomusicology,ghanaian traditional
canadian psychedelic,freakbeat
classic psychedelic rock,welsh rock
freakbeat,welsh rock
classic psychedelic rock,zolo
swedish prog,swedish psychedelic rock
croatian pop,vintage schlager
big beat,nz electronic
breakbeat,nz electronic
nu skool breaks,nz electronic
american modern classical,poetry
experimental big band,jazz orchestra
experimental big band,swiss jazz
jazz orchestra,swiss jazz
karneval,kolsche karneval
chunchaca,mexican rock-and-roll
classical organ,german baroque
classical organ,german renaissance
classic italian pop,classic schlager
classic italian pop,nederpop
classic schlager,nederpop
canadian country,nederpop
bahamian folk,experimental
space age pop,vintage french electronic
canadian psychedelic,hauntology
canadian psychedelic,zolo
hauntology,moog
hauntology,zolo
moog,zolo
french folk,hurdy-gurdy
andean,nueva trova chilena
nueva cancion,nueva trova chilena
nueva trova chilena,trova
classic psychedelic rock,psychedelic blues-rock
japanese prog,japanese psychedelic
acid rock,classic psychedelic rock
british blues,jazz rock
british blues,hammond organ
guinean pop,ngoni
ngoni,west african jazz
electra,german tech house
electra,german techno
electra,minimal techno
electra,tech house
avant-garde,jazz guitar
avant-garde jazz,british experimental
british experimental,free improvisation
british experimental,free jazz
british experimental,jazz guitar
british experimental,tzadik
jazz guitar,tzadik
french indie pop,vintage french electronic
french rock,vintage french electronic
galego,spanish invasion
spanish folk,spanish invasion
acid techno,minimal tech house
minimal dub,minimal tech house
jazz clarinet,swedish jazz
dutch contemporary classical,dutch experimental
deep melodic euro house,german tech house
german tech house,hamburg electronic
ambient dub techno,dub techno
belgian techno,modular techno
deep disco house,italian tech house
funky tech house,macedonian electronic
psychedelic folk,swedish prog
german tech house,german techno
german tech house,minimal techno
german tech house,tech house
deep free jazz,free jazz
dutch contemporary classical,musique concrete
industrial techno,polish techno
alternative country,british folk
classic j-rock,japanese heavy metal
japanese heavy metal,japanese psychedelic
japanese psychedelic,psychedelic blues-rock
italian opera,operetta
irish folk,irish gaelic folk
brazilian boogie,brazilian hip hop
brazilian hip hop,brazilian soul
belgian blues,psychedelic blues-rock
canterbury scene,german hard rock
german hard rock,krautrock
fado,guitarra portuguesa
jazz saxophone,no wave
british jazz,funeral doom
british jazz,psychedelic rock
canterbury scene,funeral doom
funeral doom,jazz rock
funeral doom,progressive rock
funeral doom,psychedelic rock
funeral doom,symphonic rock
krautrock,psychedelic blues-rock
easy listening,sunshine pop
nashville sound,sunshine pop
balkan brass,macedonian folk
banjo,vintage gospel
21st century classical,italian contemporary classical
classic icelandic pop,icelandic traditional
icelandic pop,icelandic traditional
adult standards,indorock
adult standards,vintage dutch pop
indorock,vintage dutch pop
bossa nova,bossa nova jazz
bossa nova jazz,violao
bossa nova,indie jazz
brazilian jazz,brazilian psychedelic
brazilian jazz,indie jazz
indie jazz,mpb
jazz funk,mpb
music hall,vaudeville
british dance band,torch song
big band,brass ensemble
german country,german pop
appalachian folk,memphis blues
memphis blues,traditional folk
funk metal,latin metal
orquesta tropical,salsa international
american contemporary classical,comic
french soundtrack,spytrack
classic eurovision,classic israeli pop
canterbury scene,free folk
free folk,psychedelic folk
cymraeg,psychedelic folk
psychedelic folk,welsh folk
marimba mexicana,romantico
marimba orquesta,romantico
italian progressive rock,krautrock
cueca chilena,cumbia ranchera
cumbia ranchera,folklore chileno
cueca chilena,folklore chileno
israeli folk,yemeni traditional
jazz drums,new orleans jazz
krautrock,psychedelic folk
chamame,guitarra argentina
french soundtrack,laboratorio
free improvisation,jazz quartet
canterbury scene,scottish jazz
choro,piano mpb
bebop,classic japanese jazz
pornogrind,spiritual jazz
argentine rock,canto popular uruguayo
argentine rock,chamame
canto popular uruguayo,chamame
chamame,rock nacional
dutch pop,folk rock
dutch rock,folk rock
classic japanese jazz,classical clarinet
classical clarinet,japanese jazz
classic swedish pop,nordic folk
jazz drums,modern free jazz
dutch prog,psychedelic folk
ethnomusicology,polynesian traditional
freakbeat,peruvian rock
eastern bloc groove,russian jazz
arab groove,turkish experimental
arab groove,turkish psych
turkish experimental,turkish psych
spanish indie pop,spanish noise pop
spanish indie pop,spanish prog
spanish noise pop,spanish prog
jazz accordion,vintage dutch pop
danspunk,folkmusik
dutch rock,kleinkunst
carnaval limburg,streektaal
classic portuguese pop,fado
axe,jovem guarda
axe,musica popular paraense
jovem guarda,musica popular paraense
jovem guarda,pagode
musica popular paraense,sertanejo
raw black metal,spiritual jazz
dutch cabaret,muziek voor kinderen
dutch cabaret,vintage dutch pop
muziek voor kinderen,vintage dutch pop
british blues,psychedelic folk
instrumental soul,rare groove
brazilian psychedelic,mangue bit
andean,canto popular uruguayo
andean,rio de la plata
brazilian psychedelic,nova mpb
classic polish pop,polish punk
glam rock,psychedelic blues-rock
microtonal,sound art
german hard rock,psychedelic blues-rock
eastern bloc groove,jazz organ
deep delta blues,traditional blues
alpine yodeling,landler
alpine yodeling,swiss folk
landler,swiss folk
anglican liturgy,classical organ
andean,harp
classic israeli pop,muzika l'yeladim
fado,portuguese folk
musica de intervencao,portuguese folk
combos nacionales,panamanian pop
cantonese traditional,pipa
classical era,post-romantic era
nu age,solipsynthm
swedish prog,zeuhl
swedish prog,zolo
folkmusik,swedish jazz
concertina,traditional british folk
norwegian folk,norwegian rock
jazz catala,jazz piano
jazz catala,spanish jazz
jazz piano,spanish jazz
dansband,folkmusik
dansband,vintage swedish pop
nordic contemporary classical,norwegian experimental
hollywood,novelty
acid rock,african rock
italian progressive rock,protopunk
ethio-jazz,oromo pop
ethiopian pop,oromo pop
cosmic american,southern rock
jazz organ,rare groove
rare groove,soul jazz
brass band,british brass band
brass ensemble,british brass band
choro,musica de pernambuco
musica de pernambuco,velha guarda
canterbury scene,swedish prog
british folk,progressive rock
progressive rock,psychedelic folk
psychedelic folk,symphonic rock
antideutsche,german indie
brazilian psychedelic,hard rock brasileiro
classical piano,polish classical
classical piano,post-romantic era
classic afrobeat,west african jazz
dutch pop,vintage dutch pop
easy listening,jazz vibraphone
marching band,musikkorps
marching band,oktoberfest
musikkorps,oktoberfest
traditional country,vintage country folk
eastern bloc groove,hammond organ
norwegian gospel,swedish country
indorock,nederpop
nova mpb,velha guarda
bossa nova,brazilian percussion
brazilian percussion,choro
brazilian percussion,forro tradicional
brazilian percussion,velha guarda
jazz violin,vintage jazz
french worship,haitian gospel
haitian gospel,world worship
classic latvian pop,latvian pop
musique peule,women's choir
baltimore indie,dreamgaze
classic turkish pop,turkish modern jazz
turkish jazz,turkish modern jazz
turkish modern jazz,turkish rock
muzica populara,panpipe
croatian folk,croatian pop
nordic folk,norwegian prog
native american,new orleans funk
native american,second line
british folk,hurdy-gurdy
british folk,laboratorio
celtic,hurdy-gurdy
celtic,laboratorio
hurdy-gurdy,irish folk
irish folk,laboratorio
canterbury scene,glam rock
anime score,japanese folk
j-pop,japanese folk
classic sinhala pop,sinhala rap
sinhala pop,sinhala rap
irish folk,scottish singer-songwriter
experimental,neo-progressive
neo-progressive,space rock
classic polish pop,polish folk
brazilian composition,late romantic era
late romantic era,latin classical
library music,rock gaucho
classic venezuelan pop,latin classical
jazz venezolano,latin classical
jazz venezolano,venezuelan rock
latin classical,venezuelan rock
canterbury scene,prog quebec
canterbury scene,rock quebecois
italian progressive rock,prog quebec
italian progressive rock,rock quebecois
prog quebec,rock quebecois
prog quebec,zeuhl
rock quebecois,zeuhl
nederpop,surinamese pop
surinamese pop,vintage dutch pop
musique concrete,turkish experimental
italian jazz,vintage italian soundtrack
belgian rock,kleinkunst
classic belgian pop,kleinkunst
classic belgian pop,vintage dutch pop
folkmusik,swedish prog
nordic folk,swedish prog
dutch blues,dutch indie
dutch blues,dutch rock
classic norwegian pop,dansband
dansband,danseband
dansband,norwegian pop
ilahiler,turkish folk
classic belgian pop,classic dutch pop
praise,vocal harmony group
broken beat,japanese jazztronica
japanese jazztronica,jazztronica
japanese jazztronica,nu jazz
italian folk,musica calabrese
classic belgian pop,flemish folk
croatian pop,kosovan folk
choro,samba-enredo
indian jazz,jazz fusion
early french punk,synth punk
early french punk,quebec punk
coldwave,early french punk
coldwave,french post-punk
coldwave,gothic post-punk
early french punk,french post-punk
early french punk,gothic post-punk
instrumental rock,italian progressive rock
instrumental rock,zeuhl
afrofuturismo brasileiro,brazilian soul
afrofuturismo brasileiro,umbanda
brazilian soul,umbanda
arab folk,iraqi pop
jazz quartet,jazz vibraphone
classic japanese jazz,jazz saxophone
ethnomusicology,mbira
ethnomusicology,zim urban groove
classic russian pop,classic russian rock
classic russian rock,russian folk
russian folk,russian punk
russian folk,russian rock
dub,hammond organ
hammond organ,reggae
hammond organ,rock steady
hammond organ,roots reggae
hammond organ,ska
canterbury scene,folk
canterbury scene,psychedelic folk
canterbury scene,traditional folk
classic french pop,vintage french electronic
vintage french electronic,ye ye
german rock,jazz fusion
german rock,space rock
jazz fusion,krautrock
baroque pop,oklahoma country
experimental,oklahoma country
folk rock,oklahoma country
oklahoma country,psychedelic rock
oklahoma country,singer-songwriter
fado,morna
morna,musica de intervencao
bossa nova,jazz accordion
brazilian composition,forro tradicional
brazilian composition,jazz accordion
choro,jazz accordion
forro,jazz accordion
forro tradicional,jazz accordion
jazz accordion,samba
ecm-style jazz,sitar
australian psych,psychedelic blues-rock
eastern bloc groove,polish jazz
bulgarian pop,chalga
bulgarian rock,chalga
chalga,classic bulgarian pop
classic bulgarian pop,sung poetry
brazilian jazz,jazz trombone
fourth world,san antonio indie
slovak folk,slovak pop
cosmic american,psychedelic folk rock
brazilian composition,piano mpb
musica infantil catala,nova canco
iraqi pop,middle eastern traditional
italian jazz,jazz trumpet
muzica populara,romanian folk
classic norwegian pop,norwegian contemporary jazz
norwegian contemporary jazz,norwegian indie
norwegian contemporary jazz,norwegian jazz
norwegian contemporary jazz,norwegian pop
norwegian contemporary jazz,norwegian rock
norwegian indie,norwegian jazz
norwegian jazz,norwegian pop
norwegian jazz,norwegian rock
batak,classic indo pop
batak,dangdut
operetta,vintage classical singing
operetta,vintage schlager
vintage classical singing,vintage schlager
experimental big band,free jazz
philly soul,rare groove
rock steady,vintage reggae
contemporary jazz,jazz violin
jazz violin,polish jazz
balearic,dark disco
balearic,vintage french electronic
dark disco,vintage french electronic
cabaret,movie tunes
musica popular paraense,nova mpb
ancient mediterranean,arab folk
breton folk,celtic rock
carnatic,jazz violin
hindustani classical,indian violin
hindustani classical,jazz violin
indian classical,jazz violin
indian violin,jazz violin
canadian experimental,transpop
fourth world,transpop
danseband,gospel reggae
fourth world,healing
classic garage rock,rock
freakbeat,rock
kentucky mountain folk,vintage country folk
kentucky mountain folk,vintage old-time
berlin school,dusseldorf electronic
jazz rock,space rock
deep punk rock,glam rock
finnish folk,kantele
bakersfield sound,truck-driving country
harpsichord,orchestral performance
classical performance,nordic contemporary classical
nordic contemporary classical,orchestral performance
african percussion,kenyan traditional
british jazz,free improvisation
british jazz,free jazz
british jazz,jazz double bass
free improvisation,library music
free jazz,library music
jazz double bass,library music
free improvisation,jazz double bass
breton folk,french folk
free improvisation,jazz drums
danseband,norwegian americana
avant-garde,jazz piano
egyptian pop,lebanese pop
hungarian contemporary classical,israeli classical
hungarian contemporary classical,oriental classical
german ccm,german worship
cancion melodica,rock en espanol
pop romantico,rock en espanol
swedish pop punk,swedish punk
marimba mexicana,marimba orquesta
italian folk,musica sarda
norwegian gospel,vintage swedish pop
blaskapelle,polka
afro-funk,soukous
italian progressive rock,swedish prog
american romanticism,early romantic era
sertanejo tradicional,velha guarda
brazilian psychedelic,brazilian punk
pub rock,ska revival
classic japanese jazz,japanese vocal jazz
art rock,experimental ambient
experimental,experimental ambient
experimental ambient,jazz fusion
experimental ambient,progressive rock
experimental ambient,space rock
experimental ambient,symphonic rock
fourth world,jazz fusion
fourth world,progressive rock
fourth world,symphonic rock
neo-progressive,psychedelic rock
early romantic era,harp
ambient,space rock
berlin school,space rock
deep disco,turbo folk
disco,turbo folk
deep turkish pop,rap cristiano
rap cristiano,turkish pop
classic uk pop,dutch prog
classic uk pop,dutch rock
neo-rockabilly,rock-and-roll
rock-and-roll,uk rockabilly
cumbia,cumbia peruana
afro-funk,rare groove
brazilian indie,violao
nova mpb,violao
garifuna folk,punta
garifuna folk,world
punta,world
czech punk,czech rock
czech punk,czsk hip hop
czech punk,slovak pop
czech punk,slovak rock
czech rock,czsk hip hop
czech rock,slovak rock
czsk hip hop,slovak pop
czsk hip hop,slovak rock
japanese punk rock,japanese rockabilly
chicago punk,zolo
canterbury scene,hammond organ
hammond organ,jazz rock
hammond organ,krautrock
jazz rock,krautrock
avant-garde jazz,tzadik
jazz trumpet,tzadik
canadian blues,canadian rockabilly
canadian blues,rock-and-roll
canadian blues,rockabilly
country blues,fingerstyle
jazz piano,library music
classic arab pop,rif
persian traditional,tar
bboy,popping
brega,viola caipira
classic icelandic pop,icelandic folk
icelandic folk,icelandic rock
classic finnish rock,finnish blues
austropop,liedermacher
bandoneon,orquesta tipica
orquesta tipica,tango cancion
rock nacional,tango cancion
rock nacional,vintage tango
tango,tango cancion
tango cancion,vintage tango
detske pisnicky,mluvene slovo
australian trap,australian underground hip hop
cantautor,indie catala
cantautor catala,indie catala
cantautor catala,música pitiusa
cantautor catala,spanish prog
catalan folk,indie catala
catalan folk,música pitiusa
catalan folk,spanish prog
indie catala,música pitiusa
indie catala,nova canco
indie catala,rock catala
indie catala,spanish prog
música pitiusa,nova canco
música pitiusa,rock catala
música pitiusa,spanish prog
nova canco,spanish prog
rock catala,spanish prog
canadian indie,post-disco
cumbia funk,gwoka
album rock,canadian psychedelic
art rock,canadian psychedelic
canadian psychedelic,glam rock
canadian psychedelic,progressive rock
canadian psychedelic,symphonic rock
art rock,psychedelic blues-rock
blues rock,german rock
british blues,german rock
german rock,psychedelic blues-rock
german rock,psychedelic rock
progressive rock,psychedelic blues-rock
psychedelic blues-rock,symphonic rock
benga,highlife
benga,soukous
african reggae,coupe decale
african reggae,zouglou
blues rock,canadian metal
austro-german modernism,german contemporary classical
early modern classical,german contemporary classical
german contemporary classical,serialism
clawhammer banjo,string band
bossa nova,instrumental funk
brazilian boogie,instrumental funk
brazilian soul,instrumental funk
instrumental funk,mpb
instrumental funk,samba
afropop,marrabenta
highlife,marrabenta
marrabenta,soukous
glam punk,oi
kleine hoerspiel,reading
art rock,british jazz
british jazz,canterbury scene
british jazz,instrumental rock
british jazz,jazz rock
british jazz,progressive rock
british jazz,symphonic rock
canterbury scene,jazz rock
dusseldorf electronic,german rock
belgian experimental,canterbury scene
belgian experimental,experimental
belgian experimental,zeuhl
classic danish pop,danish jazz
danish jazz,danish pop
canadian garage rock,canadian punk
canadian garage rock,garage punk
canadian punk,garage punk
garage punk,vancouver punk
belarusian pop,via
east coast hip hop,proto-rap
japanese folk,japanese new wave
japanese folk,zolo
choro,forro tradicional
bachata,merengue tipico
dunedin indie,nz punk
dunedin sound,nz punk
jangle pop,power-pop punk
indie quebecois,prog quebec
indie quebecois,symphonic rock
prog quebec,symphonic rock
pub rock,scottish rock
punk,scottish rock
ecm-style jazz,jazz quartet
dusseldorf electronic,zolo
british blues,british folk
british blues,drone folk
british blues,fingerstyle
british blues,library music
british blues,traditional folk
british folk,drone folk
british folk,fingerstyle
british folk,library music
drone folk,library music
fingerstyle,library music
folk,library music
library music,traditional folk
rock gaucho,velha guarda
deep contemporary country,oklahoma country
romanian pop,romanian rock
hammond organ,hungarian pop
hammond organ,hungarian rock
hammond organ,magyar alternative
hungarian pop,magyar alternative
hungarian rock,magyar alternative
autoharp,banjo
autoharp,canadian country
banjo,canadian country
bandoneon,bossa nova
bandoneon,brazilian composition
bandoneon,brazilian jazz
bandoneon,choro
bandoneon,forro
bandoneon,mpb
bandoneon,samba
cello,classical cello
bikutsi,makossa
arpa paraguaya,folklore paraguayo
arpa paraguaya,polca paraguaya
folklore paraguayo,polca paraguaya
german punk,neue deutsche welle
carnatic,indian violin
ghazal,qawwali
dark minimal techno,serbian electronic
classic swedish pop,nyckelharpa
classic swedish pop,swedish fiddle
folkmusik,nyckelharpa
folkmusik,swedish fiddle
nyckelharpa,swedish fiddle
classic finnish rock,finnish tango
benga,bongo flava
benga,kenyan pop
bongo flava,kenyan pop
classic finnish pop,finnish tango
classic iskelma,finnish tango
finnish tango,iskelma
classic finnish pop,harmonikka
punjabi folk,sufi
hard techno,russian techno
experimental rock,scottish indie
edinburgh metal,nwobhm
nwobhm,scottish metal
ambient,canterbury scene
ambient,industrial
ambient,no wave
ambient,post-punk
art pop,berlin school
art pop,canterbury scene
art pop,krautrock
berlin school,canterbury scene
berlin school,drone
berlin school,experimental pop
berlin school,experimental rock
berlin school,industrial
berlin school,no wave
berlin school,post-punk
canterbury scene,drone
canterbury scene,experimental pop
drone,krautrock
experimental pop,krautrock
dutch rock,german rock
dutch rock,new romantic
dutch rock,zolo
german rock,new romantic
german rock,zolo
latvian pop,soviet synthpop
gothenburg indie,swedish post-punk
garage punk,power pop
garage punk,pub rock
orchestral performance,violin
classical organ,harpsichord
avant-garde,experimental rock
avant-garde,industrial
avant-garde,math rock
avant-garde,no wave
avant-garde,noise rock
avant-garde,post-punk
drone,math rock
drone,no wave
drone,post-punk
free improvisation,industrial
free improvisation,math rock
free improvisation,noise rock
free improvisation,post-punk
industrial,minimalism
math rock,minimalism
minimalism,no wave
minimalism,noise rock
minimalism,post-punk
fado,musica de intervencao
fado,portuguese rock
deep contemporary country,nashville sound
belgian new wave,zolo
no wave,scottish indie
cantautor,spanish prog
flamenco,spanish prog
rumba,spanish prog
canterbury scene,classic uk pop
enka,japanese folk
classic soundtrack,spytrack
bossa nova,samba-enredo
forro,samba-enredo
mpb,samba-enredo
dutch prog,neo-progressive
nederpop,neo-progressive
berlin school,proto-techno
autoharp,vintage old-time
vintage old-time,vintage western
power electronics,power noise
ecm-style jazz,rare groove
jazz double bass,rare groove
portuguese jazz,portuguese rock
classical guitar,rumba
deep indian pop,veena
filmi,veena
latin classical,vintage tango
australian classical,australian jazz
dansband,dragspel
classic norwegian pop,norwegian country
danseband,norwegian country
discofox,schlager
discofox,volksmusik
jazz saxophone,swedish jazz
classical era,italian opera
galante era,italian opera
dragspel,vintage swedish pop
classic turkish pop,turkish psych
british comedy,classic uk pop
classic uk pop,comic
spanish new wave,spanish prog
bengali folk,rabindra sangeet
slovenian folk,slovenian pop
classical guitar,early romantic era
german jazz,jazz clarinet
barnalog,classic icelandic pop
barnalog,icelandic pop
classic dutch pop,levenslied
classic dutch pop,nederpop
classic dutch pop,vintage dutch pop
levenslied,vintage dutch pop
nederpop,vintage dutch pop
classical era,danish classical
danish classical,early romantic era
pop romantico,puerto rican pop
belgian experimental,library music
classic israeli pop,sefardi
classic peruvian pop,nueva cancion
musica afroperuana,nueva cancion
belgian new wave,dark wave
belgian new wave,electro-industrial
belgian new wave,industrial
belgian new wave,industrial metal
belgian new wave,industrial rock
dark wave,new beat
dark wave,proto-techno
electro-industrial,new beat
electro-industrial,proto-techno
industrial,new beat
industrial metal,new beat
industrial metal,proto-techno
industrial rock,new beat
british experimental,laboratorio
british experimental,noise rock
experimental rock,laboratorio
industrial rock,laboratorio
laboratorio,no wave
laboratorio,noise rock
laboratorio,post-punk
laboratorio,uk post-punk
classic swedish pop,swedish eurodance
danspunk,swedish eurodance
swedish alternative rock,swedish eurodance
swedish eurodance,swedish pop
belgian new wave,gothic post-punk
metal,modern hard rock
modern hard rock,nwobhm
modern hard rock,speed metal
portuguese indie,portuguese rock
jazz fusion,southern rock
healing,middle earth
danspunk,europop
europop,swedish alternative rock
glam punk,queercore
indonesian indie,indonesian jazz
belgian new wave,neue deutsche welle
belgian new wave,proto-techno
minimal wave,new beat
neue deutsche welle,new beat
new beat,proto-techno
classic schlager,ostrock
german pop,ostrock
german rock,ostrock
liedermacher,ostrock
neue deutsche welle,ostrock
jazz trumpet,spiritual jazz
hungarian pop,kizomba
electro-industrial,ethereal wave
electro-industrial,neoclassical
horror punk,nyhc
new jersey punk,nyhc
mexican son,trio huasteco
classic arab pop,jordanian pop
